,1
T.Objc→ ילד.v1.qal,3.14
T.אל.Cmpl→ דבר.v1.piel,2.0
T.Objc→ ילד.v1.hif,1.7
T.Subj→ בנה.v1.qal,0.47
T.Subj→ נסע.v1.qal,0.44
T.Subj→ עשׂה.v1.qal,0.44
T.Subj→ סמך.v1.qal,0.42
T.Objc→ צוה.v1.piel,0.4
T.ל.Cmpl→ לקח.v1.qal,0.34
T.Subj→ ילד.v1.nif,0.33
T.Subj→ ילד.v1.pual,0.33
T.Objc→ לקח.v1.qal,0.33
T.Subj→ מות.v1.qal,0.32
T.Subj→ חנה.v1.qal,0.28
T.Subj→ שׁמר.v1.qal,0.28
