ID,Label
0,אֱלֹהִים
1,שָׁמַיִם
2,אֶרֶץ
3,אֹור
4,יֹום
5,לַיְלָה
6,מַיִם
7,יָם
8,עֵץ
9,נֶפֶשׁ
10,חַיָּה
11,אָדָם
12,צָבָא
13,אֲדָמָה
14,עָפָר
15,שֵׁם
16,בָּשָׂר
17,אִשָּׁה
18,אִישׁ
19,אָב
20,אֵם
21,עַיִן
22,קֹול
23,רֹאשׁ
24,בֵּן
25,לֶחֶם
26,יָד
27,כְּרוּב
28,דֶּרֶךְ
29,אָח
30,מִנְחָה
31,מְאֹד
32,פָּנֶה
33,פֶּה
34,דָּם
35,כֹּחַ
36,עֹוד
37,זֶרַע
38,שָׁנָה
39,בַּת
40,רוּחַ
41,פֶּתַח
42,בְּרִית
43,בַּיִת
44,הַר
45,אַמָּה
46,בְּהֵמָה
47,מִזְבֵּחַ
48,עֹלָה
49,עָנָן
50,כֶּרֶם
51,מִשְׁפָּחָה
52,גֹּוי
53,עִיר
54,שָׂפָה
55,אֹהֶל
56,נֶגֶב
57,שַׂר
58,פַּרְעֹה
59,צָפֹון
60,קֶדֶם
61,מִלְחָמָה
62,מֶלֶךְ
63,שָׂדֶה
64,עֶבֶד
65,עַם
66,יַיִן
67,נַעַר
68,חוּץ
69,צְדָקָה
70,אַיִל
71,רֵעַ
72,דֹּור
73,שֶׁמֶשׁ
74,מַלְאָךְ
75,נָשִׂיא
76,רֶגֶל
77,לֵב
78,אָדֹון
79,דָּבָר
80,מִשְׁפָּט
81,פַּעַם
82,דֶּלֶת
83,חֶסֶד
84,רָעָה
85,אֵשׁ
86,מַעֲשֶׂה
87,צֹאן
88,בָּקָר
89,כֶּסֶף
90,יֶלֶד
91,חֲמֹור
92,מָקֹום
93,שַׁעַר
94,שֶׁקֶל
95,אֶמֶת
96,זָהָב
97,כְּלִי
98,בֶּגֶד
99,עֶרֶב
100,מִצְוָה
101,חֻקָּה
102,תֹּורָה
103,עֹור
104,חֵמָה
105,אַף
106,אֵל
107,אֶבֶן
108,שֶׁמֶן
109,חֹדֶשׁ
110,פְּרִי
111,עֲבֹדָה
112,כָּבֹוד
113,נָהָר
114,לֵבָב
115,זֶבַח
116,נַחַל
117,כַּף
118,אָחֹות
119,חַיִל
120,שָׁלֹום
121,רָעָב
122,כִּסֵּא
123,בֹּקֶר
124,עָוֹן
125,חֵלֶב
126,חֹק
127,יָמִין
128,שֵׁבֶט
129,בַּעַל
130,זְרֹועַ
131,רֶכֶב
132,פֶּשַׁע
133,חַטָּאת
134,עֶצֶם
135,חַיִּים
136,מַרְאֶה
137,מַטֶּה
138,מִדְבָּר
139,חֶרֶב
140,סָבִיב
141,תֹּועֵבָה
142,מֹועֵד
143,מָוֶת
144,בְּכֹר
145,לָשֹׁון
146,קָהָל
147,מְלָאכָה
148,עֵדָה
149,גֵּר
150,עַמּוּד
151,סוּס
152,מַחֲנֶה
153,שַׁבָּת
154,כֹּהֵן
155,שֶׁלֶם
156,אֹזֶן
157,גְּבוּל
158,פַּר
159,סֵפֶר
160,אֲרֹון
161,בַּד
162,עֵדוּת
163,תָּמִיד
164,מִשְׁכָּן
165,נְחֹשֶׁת
166,חָצֵר
167,קֶרֶב
168,כֶּבֶשׂ
169,חָכְמָה
170,קֹדֶשׁ
171,פֵּאָה
172,בָּמָה
173,נַחֲלָה
174,קָצֶה
175,מִסְפָּר
176,מַלְכוּת
177,מִגְרָשׁ
178,צֶדֶק
179,נָבִיא
180,שֶׁקֶר
181,כָּנָף
182,מַעַל
183,חֹומָה
184,מִשְׁפַּחַת
185,הָמֹון
186,עֵצָה
187,גִּבֹּור
188,עֵבֶר
189,מַמְלָכָה
190,דַּעַת
191,עֹולָם
192,שִׂמְחָה
193,הֵיכָל
194,עֵת
195,תָּוֶךְ
196,רֹחַב
197,אֹרֶךְ
198,רֹב
