ID,Label
0,אלהים
1,ארץ
2,אור
3,יום
4,לילה
5,שׁמים
6,מים
7,ים
8,עץ
9,נפשׁ
10,חיה
11,אדם
12,צבא
13,אדמה
14,פנה
15,עפר
16,שׁם
17,בשׂר
18,אשׁה
19,אישׁ
20,אם
21,עין
22,קול
23,ראשׁ
24,בן
25,לחם
26,יד
27,דרך
28,אח
29,מנחה
30,מאד
31,פה
32,דם
33,כח
34,עוד
35,זרע
36,שׁנה
37,בת
38,רוח
39,פתח
40,ברית
41,הר
42,אמה
43,בהמה
44,מזבח
45,עלה
46,ענן
47,כרם
48,משׁפחה
49,גוי
50,עיר
51,שׂפה
52,אהל
53,נגב
54,שׂר
55,בית
56,פרעה
57,צפון
58,קדם
59,מלחמה
60,מלך
61,עם
62,יין
63,נער
64,חוץ
65,צדקה
66,איל
67,רע
68,דור
69,שׁמשׁ
70,מלאך
71,אב
72,נשׂיא
73,רגל
74,לב
75,אדון
76,דבר
77,משׁפט
78,פעם
79,דלת
80,עבד
81,חסד
82,רעה
83,אשׁ
84,מעשׂה
85,צאן
86,בקר
87,כסף
88,ילד
89,חמור
90,מקום
91,שׁער
92,שׂדה
93,שׁקל
94,אמת
95,זהב
96,כלי
97,בגד
98,ערב
99,מצוה
100,חקה
101,תורה
102,עור
103,חמה
104,אף
105,אל
106,אבן
107,שׁמן
108,חדשׁ
109,פרי
110,עבדה
111,כבוד
112,נהר
113,לבב
114,זבח
115,נחל
116,כף
117,אחות
118,שׁלום
119,רעב
120,כסא
121,בקר
122,עון
123,חלב
124,חק
125,ימין
126,שׁבט
127,בעל
128,זרוע
129,רכב
130,פשׁע
131,חטאת
132,עצם
133,חיים
134,מראה
135,מטה
136,מדבר
137,חרב
138,סביב
139,תועבה
140,מועד
141,מות
142,בכר
143,לשׁון
144,קהל
145,מלאכה
146,עדה
147,גר
148,עמוד
149,סוס
150,חיל
151,מחנה
152,שׁבת
153,כהן
154,אזן
155,מספר
156,גבול
157,פר
158,ספר
159,ארון
160,בד
161,עדות
162,כרוב
163,תמיד
164,משׁכן
165,נחשׁת
166,חצר
167,קרב
168,כבשׂ
169,חכמה
170,שׁלם
171,קדשׁ
172,פאה
173,במה
174,נחלה
175,קצה
176,מלכות
177,מגרשׁ
178,צדק
179,נביא
180,שׁקר
181,כנף
182,מעל
183,חומה
184,משׁפחת
185,המון
186,עצה
187,גבור
188,עבר
189,ממלכה
190,דעת
191,עולם
192,תוך
193,שׂמחה
194,היכל
195,עת
196,רחב
197,ארך
198,רב
