Source,Target,Weight
0,129,0.0974754711189808
0,111,0.09350355088183515
0,106,0.07763075364594674
0,13,0.021107715617128653
0,181,0.020731889192777797
0,145,0.013452991743588494
1,2,0.1757536410425169
1,44,0.13955862618541692
1,176,0.07382851008550817
1,147,0.05031850881951705
1,58,0.04871879414020852
1,193,0.04747692760140543
1,7,0.04732717987065127
1,172,0.04487501681498607
1,53,0.038771079756988236
1,141,0.03425949224999658
1,138,0.03369789263879275
1,35,0.02919147553097412
1,27,0.02838336999952029
1,55,0.02750844508024819
1,80,0.02639625216022501
1,12,0.024947491596181037
1,109,0.02439591940944641
1,150,0.024143609261264798
1,56,0.024027114255713244
1,73,0.0228305935554598
1,59,0.02180721783638162
1,69,0.021508510649986934
1,195,0.02147142396533097
1,8,0.020631666271388904
1,86,0.02062833193140079
1,52,0.019575746202465827
2,1,0.1757536410425169
2,152,0.1511392646787293
2,167,0.15088357731146718
2,195,0.14864661522944556
2,53,0.1434050744914288
2,13,0.13744079063633063
2,138,0.1282279788508741
2,92,0.11701037203123987
2,173,0.09960302160012624
2,188,0.08745294232097267
2,55,0.0872085479798157
2,7,0.0841311557899378
2,41,0.08277630342417075
2,44,0.07755661660066826
2,193,0.07700313561364425
2,174,0.0688439251706997
2,12,0.06860998578428856
2,63,0.06369052325258373
2,68,0.058733973627422165
2,43,0.056791625625631226
2,93,0.05402590012872954
2,52,0.053313881666407825
2,164,0.05228391198491322
2,59,0.048834251921279215
2,50,0.047409658042549596
2,56,0.044337603439329576
2,166,0.04053253301544957
2,176,0.03992238373786594
2,112,0.03982146389873553
2,77,0.038579706629755295
2,113,0.037765371520147695
2,157,0.03687767499568295
2,189,0.036274029343074665
2,33,0.03572956127078031
2,14,0.034683255407342406
2,170,0.03450735452323017
2,169,0.029623185565910704
2,122,0.02261112262606846
2,116,0.022541817549944443
2,89,0.020700830357211708
2,177,0.018883048958444504
2,60,0.017389555848599803
2,40,0.015404338949488339
3,73,0.1952771685789103
3,22,0.11043239099931612
3,84,0.08779641989726805
3,86,0.08665594908540175
3,49,0.0723448431984881
3,141,0.06595504830897525
3,170,0.06437118896444793
3,106,0.06430088330877626
3,181,0.060812282881325896
3,169,0.05840428656444285
3,120,0.05601505578728472
3,107,0.05554444862442853
3,185,0.050300581504851394
3,112,0.047945009166727615
3,74,0.04776966632539925
3,174,0.04566691418859692
3,136,0.04535243942829292
3,28,0.0448713401277393
3,117,0.040917619044877784
3,32,0.04078594063288543
3,12,0.03799869270759704
3,61,0.03772299158223702
3,192,0.0336854028205007
3,178,0.03247229044998279
3,92,0.03143530992543209
3,10,0.03042938194423228
3,160,0.0287428745730679
3,123,0.028039150961115644
3,83,0.0274850329403884
3,21,0.026275444304443618
3,143,0.024567199025864683
3,52,0.024144715806119654
3,194,0.023725870853736897
3,94,0.022825701009267174
3,90,0.022593334675247267
3,138,0.022577853217074173
3,35,0.022430494933623923
3,119,0.02227927820165354
3,95,0.020970318087325857
